pupil,iris,ratio,label
26,57,2.1923,1
17,54,3.1765,1
17,56,3.2941,1
17,56,3.2941,1
17,56,3.2941,1
17,56,3.2941,1
18,56,3.1111,1
17,56,3.2941,1
22,51,2.3182,1
23,56,2.4348,1
22,60,2.7273,1
21,58,2.7619,1
25,58,2.32,1
25,57,2.28,1
23,57,2.4783,1
25,58,2.32,1
23,56,2.4348,1
25,57,2.28,1
24,57,2.375,1
29,56,1.931,1
26,56,2.1538,1
28,54,1.9286,1
27,55,2.037,1
27,53,1.963,1
29,56,1.931,1
27,56,2.0741,1
30,61,2.0333,1
29,56,1.931,1
27,56,2.0741,1
24,53,2.2083,1
21,54,2.5714,1
21,54,2.5714,1
22,51,2.3182,1
20,51,2.55,1
18,50,2.7778,1
19,54,2.8421,1
19,45,2.3684,1
20,54,2.7,1
21,54,2.5714,1
23,53,2.3043,1
27,53,1.963,1
26,58,2.2308,1
27,54,2,1
26,57,2.1923,1
26,50,1.9231,1
25,56,2.24,1
27,56,2.0741,1
25,57,2.28,1
25,56,2.24,1
25,50,2,1
20,56,2.8,1
19,56,2.9474,1
18,56,3.1111,1
19,57,3,1
17,57,3.3529,1
18,56,3.1111,1
20,57,2.85,1
18,57,3.1667,1
20,56,2.8,1
19,56,2.9474,1
19,57,3,1
22,52,2.3636,1
20,54,2.7,1
17,53,3.1176,1
19,52,2.7368,1
20,53,2.65,1
18,52,2.8889,1
18,52,2.8889,1
19,53,2.7895,1
20,54,2.7,1
17,54,3.1765,1
17,51,3,1
17,52,3.0588,1
17,49,2.8824,1
17,52,3.0588,1
17,53,3.1176,1
17,54,3.1765,1
17,46,2.7059,1
20,56,2.8,1
21,56,2.6667,1
20,52,2.6,1
21,56,2.6667,1
21,56,2.6667,1
20,58,2.9,1
22,57,2.5909,1
21,54,2.5714,1
23,56,2.4348,1
22,47,2.1364,1
21,54,2.5714,1
20,52,2.6,1
22,51,2.3182,1
26,50,1.9231,1
20,52,2.6,1
22,51,2.3182,1
26,50,1.9231,1
21,52,2.4762,1
20,46,2.3,1
22,52,2.3636,1
20,52,2.6,1
21,51,2.4286,1
25,51,2.04,1
23,52,2.2609,1
25,51,2.04,1
20,54,2.7,1
20,54,2.7,1
21,54,2.5714,1
19,54,2.8421,1
19,56,2.9474,1
18,54,3,1
21,55,2.619,1
17,48,2.8235,1
17,43,2.5294,1
17,46,2.7059,1
17,44,2.5882,1
17,39,2.2941,1
19,54,2.8421,1
17,52,3.0588,1
19,53,2.7895,1
17,52,3.0588,1
20,53,2.65,1
19,46,2.4211,1
18,44,2.4444,1
19,47,2.4737,1
18,44,2.4444,1
19,47,2.4737,1
27,53,1.963,1
25,51,2.04,1
25,54,2.16,1
24,49,2.0417,1
26,51,1.9615,1
26,51,1.9615,1
26,51,1.9615,1
25,51,2.04,1
25,51,2.04,1
25,51,2.04,1
25,49,1.96,1
24,49,2.0417,1
24,51,2.125,1
21,54,2.5714,1
24,53,2.2083,1
25,54,2.16,1
22,47,2.1364,1
23,53,2.3043,1
21,53,2.5238,1
22,54,2.4545,1
21,55,2.619,1
22,52,2.3636,1
24,58,2.4167,1
25,57,2.28,1
24,56,2.3333,1
24,56,2.3333,1
24,57,2.375,1
23,51,2.2174,1
24,57,2.375,1
24,58,2.4167,1
23,57,2.4783,1
23,57,2.4783,1
23,49,2.1304,1
23,49,2.1304,1
17,52,3.0588,1
17,50,2.9412,1
17,50,2.9412,1
18,47,2.6111,1
17,50,2.9412,1
19,51,2.6842,1
19,44,2.3158,1
19,51,2.6842,1
19,50,2.6316,1
19,51,2.6842,1
17,51,3,1
17,49,2.8824,1
17,49,2.8824,1
17,50,2.9412,1
17,51,3,1
17,51,3,1
17,54,3.1765,1
18,51,2.8333,1
18,54,3,1
19,51,2.6842,1
21,51,2.4286,1
21,51,2.4286,1
21,52,2.4762,1
21,51,2.4286,1
21,52,2.4762,1
30,58,1.9333,1
24,55,2.2917,1
22,50,2.2727,1
23,54,2.3478,1
23,51,2.2174,1
23,54,2.3478,1
24,53,2.2083,1
22,53,2.4091,1
22,53,2.4091,1
21,51,2.4286,1
22,52,2.3636,1
23,52,2.2609,1
22,52,2.3636,1
21,52,2.4762,1
19,52,2.7368,1
21,51,2.4286,1
19,57,3,1
18,43,2.3889,1
20,58,2.9,1
21,48,2.2857,1
19,53,2.7895,1
20,51,2.55,1
20,51,2.55,1
18,41,2.2778,1
19,54,2.8421,1
19,55,2.8947,1
17,49,2.8824,1
17,50,2.9412,1
17,46,2.7059,1
17,57,3.3529,1
17,47,2.7647,1
17,50,2.9412,1
22,48,2.1818,1
21,44,2.0952,1
22,43,1.9545,1
20,47,2.35,1
21,50,2.381,1
20,51,2.55,1
21,51,2.4286,1
21,52,2.4762,1
23,51,2.2174,1
23,52,2.2609,1
22,52,2.3636,1
19,38,2,1
17,53,3.1176,1
19,41,2.1579,1
26,54,2.0769,1
25,53,2.12,1
26,53,2.0385,1
19,53,2.7895,1
21,54,2.5714,1
23,56,2.4348,1
20,54,2.7,1
20,51,2.55,1
19,52,2.7368,1
18,52,2.8889,1
19,51,2.6842,1
18,55,3.0556,1
18,52,2.8889,1
30,58,1.9333,1
28,56,2,1
30,58,1.9333,1
30,59,1.9667,1
27,54,2,1
27,53,1.963,1
27,53,1.963,1
24,54,2.25,1
24,52,2.1667,1
26,53,2.0385,1
25,52,2.08,1
24,52,2.1667,1
27,53,1.963,1
27,53,1.963,1
26,51,1.9615,1
28,54,1.9286,1
26,51,1.9615,1
27,56,2.0741,1
19,50,2.6316,1
20,56,2.8,1
19,47,2.4737,1
19,56,2.9474,1
19,57,3,1
19,54,2.8421,1
17,54,3.1765,1
18,52,2.8889,1
17,54,3.1765,1
17,56,3.2941,1
17,56,3.2941,1
17,57,3.3529,1
17,57,3.3529,1
18,57,3.1667,1
19,55,2.8947,1
19,56,2.9474,1
19,56,2.9474,1
19,56,2.9474,1
20,56,2.8,1
25,51,2.04,1
21,51,2.4286,1
25,50,2,1
24,51,2.125,1
24,50,2.0833,1
23,50,2.1739,1
23,49,2.1304,1
22,51,2.3182,1
25,51,2.04,1
23,50,2.1739,1
25,56,2.24,1
26,57,2.1923,1
22,55,2.5,1
20,56,2.8,1
21,56,2.6667,1
23,57,2.4783,1
26,56,2.1538,1
25,57,2.28,1
24,56,2.3333,1
26,56,2.1538,1
26,56,2.1538,1
26,57,2.1923,1
27,56,2.0741,1
22,54,2.4545,1
21,50,2.381,1
22,56,2.5455,1
21,56,2.6667,1
20,56,2.8,1
19,56,2.9474,1
20,53,2.65,1
21,54,2.5714,1
24,53,2.2083,1
24,52,2.1667,1
26,54,2.0769,1
25,53,2.12,1
25,56,2.24,1
24,53,2.2083,1
19,48,2.5263,1
19,50,2.6316,1
19,49,2.5789,1
20,50,2.5,1
19,51,2.6842,1
18,51,2.8333,1
18,51,2.8333,1
24,52,2.1667,1
22,53,2.4091,1
23,54,2.3478,1
23,54,2.3478,1
22,54,2.4545,1
22,54,2.4545,1
22,54,2.4545,1
22,54,2.4545,1
19,55,2.8947,1
23,51,2.2174,1
22,52,2.3636,1
23,54,2.3478,1
22,54,2.4545,1
23,56,2.4348,1
20,50,2.5,1
20,51,2.55,1
20,51,2.55,1
20,51,2.55,1
19,54,2.8421,1
19,53,2.7895,1
19,52,2.7368,1
21,50,2.381,1
21,48,2.2857,1
21,48,2.2857,1
20,49,2.45,1
22,49,2.2273,1
20,48,2.4,1
19,47,2.4737,1
25,62,2.48,1
25,62,2.48,1
25,52,2.08,1
23,64,2.7826,1
24,50,2.0833,1
24,50,2.0833,1
24,51,2.125,1
24,53,2.2083,1
25,53,2.12,1
24,52,2.1667,1
23,53,2.3043,1
23,51,2.2174,1
24,51,2.125,1
24,51,2.125,1
20,55,2.75,1
20,54,2.7,1
19,54,2.8421,1
20,54,2.7,1
17,54,3.1765,1
20,54,2.7,1
20,54,2.7,1
25,57,2.28,1
24,56,2.3333,1
23,53,2.3043,1
23,51,2.2174,1
23,63,2.7391,1
25,51,2.04,1
28,59,2.1071,1
27,58,2.1481,1
26,56,2.1538,1
26,54,2.0769,1
27,54,2,1
27,58,2.1481,1
28,58,2.0714,1
22,54,2.4545,1
22,56,2.5455,1
21,54,2.5714,1
21,53,2.5238,1
22,54,2.4545,1
19,54,2.8421,1
19,53,2.7895,1
20,57,2.85,1
19,56,2.9474,1
19,54,2.8421,1
20,56,2.8,1
20,57,2.85,1
19,57,3,1
19,56,2.9474,1
22,56,2.5455,1
22,56,2.5455,1
22,54,2.4545,1
22,56,2.5455,1
23,54,2.3478,1
22,54,2.4545,1
25,54,2.16,1
21,53,2.5238,1
24,53,2.2083,1
23,53,2.3043,1
24,53,2.2083,1
25,52,2.08,1
22,51,2.3182,1
24,53,2.2083,1
28,54,1.9286,1
28,54,1.9286,1
27,53,1.963,1
21,55,2.619,1
20,55,2.75,1
21,57,2.7143,1
19,56,2.9474,1
19,55,2.8947,1
21,56,2.6667,1
21,55,2.619,1
20,53,2.65,1
19,53,2.7895,1
20,54,2.7,1
20,54,2.7,1
20,54,2.7,1
