pupil,iris,label
20,62,0
18,36,0
22,56,0
23,58,0
19,56,0
25,52,0
19,38,0
28,58,0
20,44,0
24,51,0
28,58,0
23,58,0
27,57,0
17,39,0
21,61,0
20,41,0
19,52,0
17,57,0
24,56,0
19,52,0
20,56,0
25,57,0
18,54,0
25,60,0
25,65,0
25,63,0
18,75,0
23,60,0
23,59,0
22,60,0
18,51,0
26,60,0
22,52,0
25,51,0
29,72,0
18,38,0
21,60,0
21,51,0
26,51,0
22,59,0
21,52,0
25,62,0
25,51,0
20,40,0
29,66,0
26,55,0
25,61,0
21,60,0
20,54,0
28,62,0
20,49,0
24,50,0
20,57,0
28,58,0
21,65,0
19,41,0
19,39,0
25,62,0
27,53,0
27,62,0
26,59,0
28,62,0
22,65,0
24,70,0
27,56,0
28,62,0
22,65,0
24,56,0
29,57,0
29,63,0
23,51,0
24,49,0
26,73,0
30,62,0
25,60,0
25,52,0
22,51,0
29,66,0
24,65,0
22,54,0
22,59,0
19,64,0
21,58,0
21,63,0
24,60,0
20,40,0
26,65,0
25,60,0
21,54,0
21,51,0
25,57,0
23,47,0
22,54,0
27,57,0
23,54,0
27,53,0
23,63,0
19,71,0
23,61,0
26,59,0
26,71,0
20,62,0
23,54,0
29,66,0
21,65,0
18,52,0
23,56,0
26,63,0
18,57,0
27,56,0
25,77,0
18,56,0
19,62,0
24,53,0
20,58,0
21,51,0
24,60,0
23,54,0
20,52,0
21,51,0
20,62,0
22,70,0
19,52,0
20,52,0
19,49,0
19,85,0
28,56,0
18,58,0
19,60,0
20,49,0
21,51,0
20,54,0
22,61,0
25,59,0
19,42,0
19,51,0
25,54,0
29,57,0
19,56,0
21,60,0
21,67,0
17,61,0
28,62,0
21,50,0
25,105,0
20,46,0
25,77,0
18,38,0
18,53,0
18,52,0
24,59,0
23,57,0
20,59,0
22,57,0
26,66,0
25,62,0
17,40,0
25,60,0
23,54,0
23,62,0
18,38,0
23,56,0
28,65,0
25,56,0
25,56,0
28,92,0
28,60,0
30,59,0
27,65,0
24,64,0
25,67,0
22,56,0
20,51,0
18,46,0
24,53,1
23,53,1
27,53,1
20,56,1
22,52,1
20,54,1
17,51,1
20,56,1
21,54,1
20,52,1
20,54,1
20,54,1
17,48,1
19,54,1
19,46,1
27,53,1
24,51,1
24,58,1
23,49,1
17,52,1
19,51,1
17,54,1
21,51,1
17,56,1
19,55,1
25,51,1
25,56,1
26,56,1
22,54,1
21,54,1
19,48,1
24,52,1
22,54,1
20,50,1
21,50,1
25,62,1
24,53,1
20,55,1
25,57,1
28,59,1
22,54,1
20,57,1
22,56,1
21,53,1
21,55,1
20,53,1
21,57,1
25,55,1
22,56,1
23,49,1
23,58,1
22,54,1
21,52,1
27,52,1
25,52,1
25,52,1
22,56,1
17,54,1
17,52,1
28,57,1
17,54,1
22,51,1
25,58,1
22,55,1
18,55,1
23,56,1
25,51,1
20,51,1
24,54,1
17,54,1
21,54,1
29,56,1
19,49,1
22,49,1
17,58,1
24,59,1
18,53,1
27,53,1
20,48,1
20,51,1
26,57,1
27,52,1
23,56,1
18,51,1
18,54,1
22,51,1
17,56,1
23,53,1
17,52,1
22,52,1
24,57,1
20,52,1
25,57,1
25,54,1
21,51,1
26,55,1
25,56,1
23,56,1
22,56,1
23,58,1
23,52,1
23,58,1
18,56,1
17,57,1
21,51,1
20,52,1
25,56,1
24,58,1
22,53,1
17,58,1
17,49,1
30,58,1
18,50,1
19,51,1
17,51,1
26,50,1
20,51,1
23,47,1
25,56,1
17,48,1
21,48,1
19,51,1
24,52,1
25,52,1
27,52,1
17,47,1
24,49,1
20,53,1
24,52,1
23,48,1
21,56,1
17,56,1
26,52,1
17,40,1
26,53,1
21,51,1
17,52,1
18,49,1
19,52,1
19,54,1
22,56,1
22,51,1
20,51,1
21,53,1
20,51,1
25,51,1
20,55,1
20,51,1
23,53,1
21,55,1
24,52,1
23,47,1
20,53,1
26,52,1
22,52,1
18,52,1
23,56,1
20,54,1
21,53,1
19,55,1
19,57,1
24,53,1
18,52,1
17,53,1
17,51,1
24,48,1
24,54,1
19,47,1
23,47,1
26,53,1
22,52,1
22,61,1
29,58,1
21,48,1
18,53,1
29,56,1
