pupil,iris,label
17,54,1
17,56,1
17,56,1
17,56,1
17,56,1
18,56,1
17,56,1
18,50,1
19,54,1
20,56,1
19,56,1
18,56,1
19,57,1
17,57,1
18,56,1
20,57,1
18,57,1
20,56,1
19,56,1
19,57,1
17,53,1
18,52,1
18,52,1
19,53,1
17,54,1
17,51,1
17,52,1
17,49,1
17,52,1
17,53,1
17,54,1
20,56,1
20,58,1
19,54,1
19,56,1
18,54,1
17,48,1
19,54,1
17,52,1
19,53,1
17,52,1
17,52,1
17,50,1
17,50,1
17,50,1
17,51,1
17,49,1
17,49,1
17,50,1
17,51,1
17,51,1
17,54,1
18,51,1
18,54,1
19,57,1
20,58,1
19,53,1
19,54,1
19,55,1
17,49,1
17,50,1
17,57,1
17,47,1
17,50,1
17,53,1
19,53,1
18,52,1
18,55,1
18,52,1
20,56,1
19,56,1
19,57,1
19,54,1
17,54,1
18,52,1
17,54,1
17,56,1
17,56,1
17,57,1
17,57,1
18,57,1
19,55,1
19,56,1
19,56,1
19,56,1
20,56,1
20,56,1
20,56,1
19,56,1
18,51,1
18,51,1
19,55,1
19,54,1
19,53,1
23,64,1
19,54,1
17,54,1
19,54,1
19,53,1
20,57,1
19,56,1
19,54,1
20,56,1
20,57,1
19,57,1
19,56,1
19,56,1
19,55,1
19,53,1
17,54,1
18,54,1
17,54,1
17,54,1
18,54,1
18,57,1
17,52,1
17,51,1
17,51,1
17,51,1
17,52,1
17,51,1
17,51,1
18,46,2
19,39,2
19,39,2
18,62,2
19,38,2
17,49,2
27,66,2
18,46,2
26,66,2
26,61,2
20,62,2
21,63,2
20,63,2
19,60,2
23,53,2
27,53,2
17,63,2
19,59,2
20,41,2
17,62,2
18,36,2
30,69,2
18,38,2
20,42,2
28,66,2
29,66,2
25,57,2
22,57,2
22,56,2
26,56,2
21,56,2
21,56,2
23,57,2
24,58,2
24,58,2
23,58,2
23,58,2
23,57,2
25,63,2
25,62,2
25,62,2
19,56,2
17,33,2
17,33,2
25,60,2
25,52,2
24,53,2
25,54,2
18,36,2
28,56,2
28,63,2
19,38,2
27,66,2
26,66,2
26,61,2
23,53,2
27,53,2
20,41,2
18,36,2
30,69,2
18,38,2
20,42,2
28,66,2
29,66,2
25,57,2
22,56,2
26,56,2
23,57,2
24,58,2
24,58,2
23,58,2
23,58,2
23,57,2
25,63,2
25,62,2
25,62,2
17,33,2
17,33,2
25,60,2
25,52,2
24,53,2
25,54,2
18,36,2
28,56,2
28,63,2
25,60,2
25,60,2
25,60,2
28,58,2
20,44,2
18,45,2
18,35,2
20,42,2
22,54,2
27,59,2
28,62,2
28,61,2
24,51,2
26,53,2
26,52,2
26,53,2
26,52,2
26,53,2
17,33,2
17,33,2
28,56,2
26,54,2
28,58,2
27,58,2
28,57,2
23,58,2
27,57,2
26,56,2
25,54,2
25,54,2
25,54,2
25,54,2
26,56,2
26,57,2
26,58,2
17,39,2
27,60,2
26,58,2
20,49,2
25,62,2
17,42,2
17,42,2
17,42,2
18,42,2
18,42,2
20,41,2
24,61,2
24,56,2
23,58,2
26,54,2
22,56,2
22,56,2
22,56,2
22,56,2
22,56,2
25,57,2
26,60,2
26,59,2
20,51,2
18,46,2
25,60,2
27,63,2
26,62,2
25,63,2
25,64,2
27,60,2
25,64,2
25,64,2
23,59,2
22,52,2
18,37,2
19,39,2
25,60,2
20,40,2
20,42,2
22,43,2
22,45,2
20,46,2
20,47,2
26,63,2
29,72,2
29,71,2
21,43,2
18,35,2
28,57,2
20,47,2
18,38,2
29,58,2
22,54,2
18,40,2
23,54,2
